,player,team,week,opp,loc,res,rush_attempts,rush_yards,yards_per_rush,rush_TD,targets,receptions,rec_yards,yards_per_rec,rec_TD,fantasy_points
633,Damien_Williams,MIA,3.0,CLE,home,W 30-24,1.0,15.0,15.0,0.0,3.0,3.0,10.0,3.3,1.0,10.0
634,Damien_Williams,MIA,4.0,CIN,away,L 7-22,2.0,9.0,4.5,0.0,2.0,1.0,6.0,6.0,0.0,2.0
635,Damien_Williams,MIA,5.0,TEN,home,L 17-30,1.0,3.0,3.0,0.0,2.0,2.0,67.0,33.5,0.0,8.0
636,Damien_Williams,MIA,6.0,PIT,home,W 30-15,6.0,12.0,2.0,1.0,2.0,2.0,5.0,2.5,0.0,8.7
637,Damien_Williams,MIA,7.0,BUF,home,W 28-25,4.0,16.0,4.0,1.0,1.0,0.0,0.0,,0.0,7.6
639,DeAngelo_Williams,PIT,1.0,WAS,away,W 38-16,26.0,143.0,5.5,2.0,9.0,6.0,28.0,4.7,0.0,32.1
640,DeAngelo_Williams,PIT,2.0,CIN,home,W 24-16,32.0,94.0,2.9,0.0,5.0,4.0,38.0,9.5,1.0,21.2
641,DeAngelo_Williams,PIT,3.0,PHI,away,L 3-34,8.0,21.0,2.6,0.0,7.0,4.0,23.0,5.8,0.0,6.4
642,DeAngelo_Williams,PIT,4.0,KC,home,W 43-14,4.0,7.0,1.8,1.0,1.0,1.0,2.0,2.0,0.0,7.4
643,DeAngelo_Williams,PIT,5.0,NYJ,home,W 31-13,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0
644,DeAngelo_Williams,PIT,6.0,MIA,away,L 15-30,3.0,10.0,3.3,0.0,0.0,0.0,0.0,,0.0,1.0
646,Jonathan_Williams,BUF,3.0,ARI,home,W 33-18,3.0,2.0,0.7,0.0,0.0,0.0,0.0,,0.0,0.2
647,Jonathan_Williams,BUF,6.0,SF,home,W 45-16,5.0,21.0,4.2,0.0,0.0,0.0,0.0,,0.0,0.1
649,Danny_Woodhead,SD,1.0,KC,away,L 27-33,16.0,89.0,5.6,0.0,7.0,5.0,31.0,6.2,1.0,20.5
650,Danny_Woodhead,SD,2.0,JAC,home,W 38-14,3.0,27.0,9.0,0.0,1.0,1.0,4.0,4.0,0.0,3.6
652,T.J._Yeldon,JAC,1.0,GB,home,L 23-27,21.0,39.0,1.9,1.0,6.0,4.0,30.0,7.5,0.0,14.9
653,T.J._Yeldon,JAC,2.0,SD,away,L 14-38,7.0,28.0,4.0,0.0,9.0,8.0,10.0,1.3,0.0,7.8
654,T.J._Yeldon,JAC,3.0,BAL,home,L 17-19,6.0,17.0,2.8,0.0,3.0,2.0,11.0,5.5,0.0,3.8
655,T.J._Yeldon,JAC,4.0,IND,home,W 30-27,14.0,71.0,5.1,0.0,5.0,4.0,46.0,11.5,0.0,13.7
656,T.J._Yeldon,JAC,6.0,CHI,away,W 17-16,6.0,21.0,3.5,0.0,2.0,1.0,5.0,5.0,0.0,3.1
657,T.J._Yeldon,JAC,7.0,OAK,home,L 16-33,6.0,24.0,4.0,0.0,2.0,1.0,4.0,4.0,0.0,3.3
658,T.J._Yeldon,JAC,8.0,TEN,away,L 22-36,3.0,20.0,6.7,0.0,4.0,4.0,36.0,9.0,0.0,7.6
660,Zach_Zenner,DET,4.0,CHI,away,L 14-17,3.0,12.0,4.0,0.0,1.0,1.0,22.0,22.0,0.0,3.9
661,Zach_Zenner,DET,5.0,PHI,home,W 24-23,7.0,9.0,1.3,0.0,2.0,2.0,23.0,11.5,0.0,4.2
662,Zach_Zenner,DET,6.0,LAR,home,W 31-28,14.0,58.0,4.1,0.0,2.0,2.0,19.0,9.5,0.0,8.7
663,Zach_Zenner,DET,7.0,WAS,home,W 20-17,9.0,29.0,3.2,1.0,2.0,0.0,0.0,,0.0,8.9
